array_row_index,sequence_id,asset_id,lbw,split,start_timestamp,end_timestamp,start_timeline_index,end_timeline_index
0,AAPL__lbw_126__train__00000313,AAPL,126,train,2008-06-03T00:00:00,2008-08-16T00:00:00,313,375
1,AAPL__lbw_126__train__00000376,AAPL,126,train,2008-08-18T00:00:00,2008-10-30T00:00:00,376,438
2,AAPL__lbw_126__train__00000439,AAPL,126,train,2008-10-31T00:00:00,2009-01-14T00:00:00,439,501
3,AAPL__lbw_126__train__00000502,AAPL,126,train,2009-01-15T00:00:00,2009-03-31T00:00:00,502,564
4,AAPL__lbw_126__train__00000565,AAPL,126,train,2009-04-01T00:00:00,2009-06-15T00:00:00,565,627
5,AAPL__lbw_126__train__00000628,AAPL,126,train,2009-06-16T00:00:00,2009-08-28T00:00:00,628,690
6,AAPL__lbw_126__train__00000691,AAPL,126,train,2009-08-29T00:00:00,2009-11-11T00:00:00,691,753
7,AAPL__lbw_126__train__00000754,AAPL,126,train,2009-11-12T00:00:00,2010-01-29T00:00:00,754,816
8,AAPL__lbw_126__train__00000817,AAPL,126,train,2010-01-30T00:00:00,2010-04-15T00:00:00,817,879
9,AAPL__lbw_126__train__00000880,AAPL,126,train,2010-04-16T00:00:00,2010-06-29T00:00:00,880,942
10,AAPL__lbw_126__train__00000943,AAPL,126,train,2010-06-30T00:00:00,2010-09-13T00:00:00,943,1005
11,AAPL__lbw_126__train__00001006,AAPL,126,train,2010-09-14T00:00:00,2010-11-25T00:00:00,1006,1068
12,AAPL__lbw_126__train__00001069,AAPL,126,train,2010-11-26T00:00:00,2011-02-10T00:00:00,1069,1131
13,AAPL__lbw_126__train__00001132,AAPL,126,train,2011-02-11T00:00:00,2011-04-27T00:00:00,1132,1194
14,AAPL__lbw_126__train__00001195,AAPL,126,train,2011-04-28T00:00:00,2011-07-12T00:00:00,1195,1257
15,AAPL__lbw_126__train__00001258,AAPL,126,train,2011-07-13T00:00:00,2011-09-24T00:00:00,1258,1320
16,AAPL__lbw_126__train__00001321,AAPL,126,train,2011-09-26T00:00:00,2011-12-08T00:00:00,1321,1383
17,AAPL__lbw_126__train__00001384,AAPL,126,train,2011-12-09T00:00:00,2012-02-24T00:00:00,1384,1446
18,AAPL__lbw_126__train__00001447,AAPL,126,train,2012-02-25T00:00:00,2012-05-09T00:00:00,1447,1509
19,AAPL__lbw_126__train__00001510,AAPL,126,train,2012-05-10T00:00:00,2012-07-24T00:00:00,1510,1572
20,AAPL__lbw_126__train__00001573,AAPL,126,train,2012-07-25T00:00:00,2012-10-06T00:00:00,1573,1635
21,AAPL__lbw_126__train__00001636,AAPL,126,train,2012-10-08T00:00:00,2012-12-22T00:00:00,1636,1698
22,AAPL__lbw_126__train__00001699,AAPL,126,train,2012-12-24T00:00:00,2013-03-09T00:00:00,1699,1761
23,AAPL__lbw_126__train__00001762,AAPL,126,train,2013-03-11T00:00:00,2013-05-23T00:00:00,1762,1824
24,AAPL__lbw_126__train__00001825,AAPL,126,train,2013-05-24T00:00:00,2013-08-07T00:00:00,1825,1887
25,AAPL__lbw_126__train__00001888,AAPL,126,train,2013-08-08T00:00:00,2013-10-21T00:00:00,1888,1950
26,AAPL__lbw_126__train__00001951,AAPL,126,train,2013-10-22T00:00:00,2014-01-04T00:00:00,1951,2013
27,AAPL__lbw_126__train__00002014,AAPL,126,train,2014-01-06T00:00:00,2014-03-21T00:00:00,2014,2076
28,AAPL__lbw_126__train__00002077,AAPL,126,train,2014-03-22T00:00:00,2014-06-05T00:00:00,2077,2139
29,AAPL__lbw_126__train__00002140,AAPL,126,train,2014-06-06T00:00:00,2014-08-20T00:00:00,2140,2202
30,AAPL__lbw_126__train__00002203,AAPL,126,train,2014-08-21T00:00:00,2014-11-03T00:00:00,2203,2265
31,AAPL__lbw_126__train__00002266,AAPL,126,train,2014-11-04T00:00:00,2015-01-17T00:00:00,2266,2328
32,AAPL__lbw_126__train__00002329,AAPL,126,train,2015-01-20T00:00:00,2015-04-03T00:00:00,2329,2391
33,AAPL__lbw_126__train__00002392,AAPL,126,train,2015-04-06T00:00:00,2015-06-18T00:00:00,2392,2454
