asset_id,lbw,usable_row_count,train_row_count,val_row_count,train_start_timestamp,train_end_timestamp,val_start_timestamp,val_end_timestamp,train_start_timeline_index,train_end_timeline_index,val_start_timeline_index,val_end_timeline_index,split_rule
COCOA.c,21,463,416,47,2024-04-18T00:00:00,2025-12-11T00:00:00,2025-12-12T00:00:00,2026-02-20T00:00:00,313,728,729,775,floor_90_rest_10
COFFEE.c,21,463,416,47,2024-04-18T00:00:00,2025-12-11T00:00:00,2025-12-12T00:00:00,2026-02-20T00:00:00,313,728,729,775,floor_90_rest_10
CORN.c,21,415,373,42,2024-06-28T00:00:00,2025-12-19T00:00:00,2025-12-22T00:00:00,2026-02-23T00:00:00,313,685,686,727,floor_90_rest_10
SOYBEAN.c,21,328,295,33,2024-10-31T00:00:00,2026-01-05T00:00:00,2026-01-06T00:00:00,2026-02-23T00:00:00,313,607,608,640,floor_90_rest_10
WHEAT.c,21,418,376,42,2024-06-25T00:00:00,2025-12-19T00:00:00,2025-12-22T00:00:00,2026-02-23T00:00:00,313,688,689,730,floor_90_rest_10
GER40.cash,21,1628,1465,163,2019-10-11T00:00:00,2025-07-02T00:00:00,2025-07-03T00:00:00,2026-02-23T00:00:00,313,1777,1778,1940,floor_90_rest_10
UK100.cash,21,1802,1621,181,2019-01-10T00:00:00,2025-06-09T00:00:00,2025-06-10T00:00:00,2026-02-23T00:00:00,313,1933,1934,2114,floor_90_rest_10
US100.cash,21,1793,1613,180,2019-03-19T00:00:00,2025-06-12T00:00:00,2025-06-13T00:00:00,2026-02-23T00:00:00,313,1925,1926,2105,floor_90_rest_10
US30.cash,21,1486,1337,149,2020-05-26T00:00:00,2025-07-25T00:00:00,2025-07-28T00:00:00,2026-02-23T00:00:00,313,1649,1650,1798,floor_90_rest_10
US500.cash,21,1793,1613,180,2019-03-19T00:00:00,2025-06-12T00:00:00,2025-06-13T00:00:00,2026-02-23T00:00:00,313,1925,1926,2105,floor_90_rest_10
AUS200.cash,21,1467,1320,147,2020-05-29T00:00:00,2025-07-28T00:00:00,2025-07-29T00:00:00,2026-02-23T00:00:00,313,1632,1633,1779,floor_90_rest_10
EU50.cash,21,1762,1585,177,2019-03-26T00:00:00,2025-06-11T00:00:00,2025-06-12T00:00:00,2026-02-20T00:00:00,313,1897,1898,2074,floor_90_rest_10
