sequence_id,asset_id,lbw,split,sequence_index,start_timestamp,end_timestamp,start_timeline_index,end_timeline_index,row_count
GER40.cash__lbw_252__train__00000313,GER40.cash,252,train,0,2019-10-11T00:00:00,2020-01-07T00:00:00,313,375,63
GER40.cash__lbw_252__train__00000376,GER40.cash,252,train,1,2020-01-08T00:00:00,2020-04-03T00:00:00,376,438,63
GER40.cash__lbw_252__train__00000439,GER40.cash,252,train,2,2020-04-06T00:00:00,2020-07-02T00:00:00,439,501,63
GER40.cash__lbw_252__train__00000502,GER40.cash,252,train,3,2020-07-03T00:00:00,2020-09-29T00:00:00,502,564,63
GER40.cash__lbw_252__train__00000565,GER40.cash,252,train,4,2020-09-30T00:00:00,2020-12-29T00:00:00,565,627,63
GER40.cash__lbw_252__train__00000628,GER40.cash,252,train,5,2020-12-30T00:00:00,2021-03-30T00:00:00,628,690,63
GER40.cash__lbw_252__train__00000691,GER40.cash,252,train,6,2021-03-31T00:00:00,2021-06-29T00:00:00,691,753,63
GER40.cash__lbw_252__train__00000754,GER40.cash,252,train,7,2021-06-30T00:00:00,2021-09-24T00:00:00,754,816,63
GER40.cash__lbw_252__train__00000817,GER40.cash,252,train,8,2021-09-27T00:00:00,2021-12-22T00:00:00,817,879,63
GER40.cash__lbw_252__train__00000880,GER40.cash,252,train,9,2021-12-23T00:00:00,2022-03-23T00:00:00,880,942,63
GER40.cash__lbw_252__train__00000943,GER40.cash,252,train,10,2022-03-24T00:00:00,2022-06-22T00:00:00,943,1005,63
GER40.cash__lbw_252__train__00001006,GER40.cash,252,train,11,2022-06-23T00:00:00,2022-09-19T00:00:00,1006,1068,63
GER40.cash__lbw_252__train__00001069,GER40.cash,252,train,12,2022-09-20T00:00:00,2022-12-15T00:00:00,1069,1131,63
GER40.cash__lbw_252__train__00001132,GER40.cash,252,train,13,2022-12-16T00:00:00,2023-03-15T00:00:00,1132,1194,63
GER40.cash__lbw_252__train__00001195,GER40.cash,252,train,14,2023-03-16T00:00:00,2023-06-15T00:00:00,1195,1257,63
GER40.cash__lbw_252__train__00001258,GER40.cash,252,train,15,2023-06-16T00:00:00,2023-09-12T00:00:00,1258,1320,63
GER40.cash__lbw_252__train__00001321,GER40.cash,252,train,16,2023-09-13T00:00:00,2023-12-08T00:00:00,1321,1383,63
GER40.cash__lbw_252__train__00001384,GER40.cash,252,train,17,2023-12-11T00:00:00,2024-03-11T00:00:00,1384,1446,63
GER40.cash__lbw_252__train__00001447,GER40.cash,252,train,18,2024-03-12T00:00:00,2024-06-11T00:00:00,1447,1509,63
GER40.cash__lbw_252__train__00001510,GER40.cash,252,train,19,2024-06-12T00:00:00,2024-09-06T00:00:00,1510,1572,63
GER40.cash__lbw_252__train__00001573,GER40.cash,252,train,20,2024-09-09T00:00:00,2024-12-04T00:00:00,1573,1635,63
GER40.cash__lbw_252__train__00001636,GER40.cash,252,train,21,2024-12-05T00:00:00,2025-03-10T00:00:00,1636,1698,63
GER40.cash__lbw_252__train__00001699,GER40.cash,252,train,22,2025-03-11T00:00:00,2025-06-10T00:00:00,1699,1761,63
GER40.cash__lbw_252__validation__00001778,GER40.cash,252,validation,0,2025-07-03T00:00:00,2025-09-29T00:00:00,1778,1840,63
GER40.cash__lbw_252__validation__00001841,GER40.cash,252,validation,1,2025-09-30T00:00:00,2025-12-30T00:00:00,1841,1903,63
UK100.cash__lbw_252__train__00000313,UK100.cash,252,train,0,2019-01-10T00:00:00,2019-04-08T00:00:00,313,375,63
UK100.cash__lbw_252__train__00000376,UK100.cash,252,train,1,2019-04-09T00:00:00,2019-07-10T00:00:00,376,438,63
UK100.cash__lbw_252__train__00000439,UK100.cash,252,train,2,2019-07-11T00:00:00,2019-10-08T00:00:00,439,501,63
UK100.cash__lbw_252__train__00000502,UK100.cash,252,train,3,2019-10-09T00:00:00,2020-01-08T00:00:00,502,564,63
UK100.cash__lbw_252__train__00000565,UK100.cash,252,train,4,2020-01-09T00:00:00,2020-04-06T00:00:00,565,627,63
UK100.cash__lbw_252__train__00000628,UK100.cash,252,train,5,2020-04-07T00:00:00,2020-07-06T00:00:00,628,690,63
UK100.cash__lbw_252__train__00000691,UK100.cash,252,train,6,2020-07-07T00:00:00,2020-10-01T00:00:00,691,753,63
