asset_id,lbw,split,fragment_start_timestamp,fragment_end_timestamp,fragment_start_timeline_index,fragment_end_timeline_index,fragment_length,reason_code,dropped_sequence_count
COCOA.c,10,train,2025-10-20T00:00:00,2025-12-11T00:00:00,691,728,38,TERMINAL_FRAGMENT_LT_63,0
COCOA.c,10,validation,2026-02-20T00:00:00,2026-02-20T00:00:00,775,775,1,MISSING_NEXT_RETURN,0
COCOA.c,10,validation,2025-12-12T00:00:00,2026-02-19T00:00:00,729,774,46,TERMINAL_FRAGMENT_LT_63,0
COCOA.c,10,validation,2025-12-12T00:00:00,2026-02-20T00:00:00,729,775,47,NO_FULL_VALIDATION_SEQUENCE,6
COFFEE.c,10,train,2025-10-20T00:00:00,2025-12-11T00:00:00,691,728,38,TERMINAL_FRAGMENT_LT_63,0
COFFEE.c,10,validation,2026-02-20T00:00:00,2026-02-20T00:00:00,775,775,1,MISSING_NEXT_RETURN,0
COFFEE.c,10,validation,2025-12-12T00:00:00,2026-02-19T00:00:00,729,774,46,TERMINAL_FRAGMENT_LT_63,0
COFFEE.c,10,validation,2025-12-12T00:00:00,2026-02-20T00:00:00,729,775,47,NO_FULL_VALIDATION_SEQUENCE,6
CORN.c,10,train,2025-09-30T00:00:00,2025-12-19T00:00:00,628,685,58,TERMINAL_FRAGMENT_LT_63,0
CORN.c,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,727,727,1,MISSING_NEXT_RETURN,0
CORN.c,10,validation,2025-12-22T00:00:00,2026-02-20T00:00:00,686,726,41,TERMINAL_FRAGMENT_LT_63,0
CORN.c,10,validation,2025-12-22T00:00:00,2026-02-23T00:00:00,686,727,42,NO_FULL_VALIDATION_SEQUENCE,5
GER40.cash,10,train,2025-06-11T00:00:00,2025-07-02T00:00:00,1762,1777,16,TERMINAL_FRAGMENT_LT_63,0
GER40.cash,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,1940,1940,1,MISSING_NEXT_RETURN,0
GER40.cash,10,validation,2026-01-02T00:00:00,2026-02-20T00:00:00,1904,1939,36,TERMINAL_FRAGMENT_LT_63,0
AUS200.cash,10,train,2025-05-06T00:00:00,2025-07-28T00:00:00,1573,1632,60,TERMINAL_FRAGMENT_LT_63,0
AUS200.cash,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,1779,1779,1,MISSING_NEXT_RETURN,0
AUS200.cash,10,validation,2026-01-26T00:00:00,2026-02-20T00:00:00,1759,1778,20,TERMINAL_FRAGMENT_LT_63,0
EU50.cash,10,train,2025-05-29T00:00:00,2025-06-11T00:00:00,1888,1897,10,TERMINAL_FRAGMENT_LT_63,0
EU50.cash,10,validation,2026-02-20T00:00:00,2026-02-20T00:00:00,2074,2074,1,MISSING_NEXT_RETURN,0
EU50.cash,10,validation,2025-12-05T00:00:00,2026-02-19T00:00:00,2024,2073,50,TERMINAL_FRAGMENT_LT_63,0
FRA40.cash,10,train,2025-05-19T00:00:00,2025-06-12T00:00:00,1888,1906,19,TERMINAL_FRAGMENT_LT_63,0
FRA40.cash,10,validation,2026-02-20T00:00:00,2026-02-20T00:00:00,2084,2084,1,MISSING_NEXT_RETURN,0
FRA40.cash,10,validation,2025-12-08T00:00:00,2026-02-19T00:00:00,2033,2083,51,TERMINAL_FRAGMENT_LT_63,0
HK50.cash,10,train,2025-05-08T00:00:00,2025-07-21T00:00:00,1573,1624,52,TERMINAL_FRAGMENT_LT_63,0
HK50.cash,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,1770,1770,1,MISSING_NEXT_RETURN,0
HK50.cash,10,validation,2026-01-22T00:00:00,2026-02-20T00:00:00,1751,1769,19,TERMINAL_FRAGMENT_LT_63,0
JP225.cash,10,train,2025-05-06T00:00:00,2025-06-05T00:00:00,1951,1973,23,TERMINAL_FRAGMENT_LT_63,0
JP225.cash,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,2158,2158,1,MISSING_NEXT_RETURN,0
JP225.cash,10,validation,2025-12-01T00:00:00,2026-02-20T00:00:00,2100,2157,58,TERMINAL_FRAGMENT_LT_63,0
N25.cash,10,train,2025-08-19T00:00:00,2025-10-15T00:00:00,1069,1110,42,TERMINAL_FRAGMENT_LT_63,0
N25.cash,10,validation,2026-02-20T00:00:00,2026-02-20T00:00:00,1199,1199,1,MISSING_NEXT_RETURN,0
N25.cash,10,validation,2026-01-16T00:00:00,2026-02-19T00:00:00,1174,1198,25,TERMINAL_FRAGMENT_LT_63,0
DXY.cash,10,train,2026-02-13T00:00:00,2026-02-20T00:00:00,313,318,6,TERMINAL_FRAGMENT_LT_63,0
DXY.cash,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,319,319,1,MISSING_NEXT_RETURN,0
DXY.cash,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,319,319,1,NO_FULL_VALIDATION_SEQUENCE,0
NATGAS.cash,10,train,2026-01-12T00:00:00,2026-02-17T00:00:00,313,339,27,TERMINAL_FRAGMENT_LT_63,0
NATGAS.cash,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,343,343,1,MISSING_NEXT_RETURN,0
NATGAS.cash,10,validation,2026-02-18T00:00:00,2026-02-20T00:00:00,340,342,3,TERMINAL_FRAGMENT_LT_63,0
NATGAS.cash,10,validation,2026-02-18T00:00:00,2026-02-23T00:00:00,340,343,4,NO_FULL_VALIDATION_SEQUENCE,0
ADAUSD,10,train,2025-08-31T00:00:00,2025-10-15T00:00:00,1447,1491,45,TERMINAL_FRAGMENT_LT_63,0
ADAUSD,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,1622,1622,1,MISSING_NEXT_RETURN,0
ADAUSD,10,validation,2026-02-19T00:00:00,2026-02-22T00:00:00,1618,1621,4,TERMINAL_FRAGMENT_LT_63,0
AVAUSD,10,train,2025-07-22T00:00:00,2025-09-09T00:00:00,1762,1807,46,TERMINAL_FRAGMENT_LT_63,0
AVAUSD,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,1974,1974,1,MISSING_NEXT_RETURN,0
AVAUSD,10,validation,2026-01-14T00:00:00,2026-02-22T00:00:00,1934,1973,40,TERMINAL_FRAGMENT_LT_63,0
BCHUSD,10,train,2025-04-22T00:00:00,2025-05-17T00:00:00,2770,2795,26,TERMINAL_FRAGMENT_LT_63,0
BCHUSD,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,3071,3071,1,MISSING_NEXT_RETURN,0
BCHUSD,10,validation,2026-01-31T00:00:00,2026-02-22T00:00:00,3048,3070,23,TERMINAL_FRAGMENT_LT_63,0
BTCUSD,10,train,2024-08-14T00:00:00,2024-10-04T00:00:00,4786,4837,52,TERMINAL_FRAGMENT_LT_63,0
BTCUSD,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,5340,5340,1,MISSING_NEXT_RETURN,0
BTCUSD,10,validation,2025-12-24T00:00:00,2026-02-22T00:00:00,5279,5339,61,TERMINAL_FRAGMENT_LT_63,0
DASHUSD,10,train,2025-07-16T00:00:00,2025-09-15T00:00:00,1699,1756,58,TERMINAL_FRAGMENT_LT_63,0
DASHUSD,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,1917,1917,1,MISSING_NEXT_RETURN,0
DASHUSD,10,validation,2026-01-20T00:00:00,2026-02-22T00:00:00,1883,1916,34,TERMINAL_FRAGMENT_LT_63,0
DOTUSD,10,train,2025-08-31T00:00:00,2025-10-15T00:00:00,1447,1491,45,TERMINAL_FRAGMENT_LT_63,0
DOTUSD,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,1622,1622,1,MISSING_NEXT_RETURN,0
DOTUSD,10,validation,2026-02-19T00:00:00,2026-02-22T00:00:00,1618,1621,4,TERMINAL_FRAGMENT_LT_63,0
ETCUSD,10,train,2025-04-22T00:00:00,2025-05-17T00:00:00,2770,2795,26,TERMINAL_FRAGMENT_LT_63,0
ETCUSD,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,3071,3071,1,MISSING_NEXT_RETURN,0
ETCUSD,10,validation,2026-01-31T00:00:00,2026-02-22T00:00:00,3048,3070,23,TERMINAL_FRAGMENT_LT_63,0
ETHUSD,10,train,2025-04-15T00:00:00,2025-04-29T00:00:00,2959,2973,15,TERMINAL_FRAGMENT_LT_63,0
ETHUSD,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,3269,3269,1,MISSING_NEXT_RETURN,0
ETHUSD,10,validation,2026-01-11T00:00:00,2026-02-22T00:00:00,3226,3268,43,TERMINAL_FRAGMENT_LT_63,0
LTCUSD,10,train,2012-12-04T00:00:00,2012-12-15T00:00:00,313,324,12,TERMINAL_FRAGMENT_LT_63,0
LTCUSD,10,train,2012-12-28T00:00:00,2013-01-07T00:00:00,337,347,11,TERMINAL_FRAGMENT_LT_63,0
LTCUSD,10,train,2013-01-14T00:00:00,2013-01-24T00:00:00,354,364,11,TERMINAL_FRAGMENT_LT_63,0
LTCUSD,10,train,2024-10-12T00:00:00,2024-10-31T00:00:00,4592,4611,20,TERMINAL_FRAGMENT_LT_63,0
LTCUSD,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,5087,5087,1,MISSING_NEXT_RETURN,0
LTCUSD,10,validation,2026-01-20T00:00:00,2026-02-22T00:00:00,5053,5086,34,TERMINAL_FRAGMENT_LT_63,0
AAVUSD,10,train,2025-09-02T00:00:00,2025-09-20T00:00:00,1699,1716,18,TERMINAL_FRAGMENT_LT_63,0
AAVUSD,10,validation,2026-02-23T00:00:00,2026-02-23T00:00:00,1872,1872,1,MISSING_NEXT_RETURN,0
AAVUSD,10,validation,2026-01-25T00:00:00,2026-02-22T00:00:00,1843,1871,29,TERMINAL_FRAGMENT_LT_63,0
