sequence_id,asset_id,lbw,split,sequence_index,start_timestamp,end_timestamp,start_timeline_index,end_timeline_index,row_count
GER40.cash__lbw_10__train__00000313,GER40.cash,10,train,0,2019-10-11T00:00:00,2020-01-07T00:00:00,313,375,63
GER40.cash__lbw_10__train__00000376,GER40.cash,10,train,1,2020-01-08T00:00:00,2020-04-03T00:00:00,376,438,63
GER40.cash__lbw_10__train__00000439,GER40.cash,10,train,2,2020-04-06T00:00:00,2020-07-02T00:00:00,439,501,63
GER40.cash__lbw_10__train__00000502,GER40.cash,10,train,3,2020-07-03T00:00:00,2020-09-29T00:00:00,502,564,63
GER40.cash__lbw_10__train__00000565,GER40.cash,10,train,4,2020-09-30T00:00:00,2020-12-29T00:00:00,565,627,63
GER40.cash__lbw_10__train__00000628,GER40.cash,10,train,5,2020-12-30T00:00:00,2021-03-30T00:00:00,628,690,63
GER40.cash__lbw_10__train__00000691,GER40.cash,10,train,6,2021-03-31T00:00:00,2021-06-29T00:00:00,691,753,63
GER40.cash__lbw_10__train__00000754,GER40.cash,10,train,7,2021-06-30T00:00:00,2021-09-24T00:00:00,754,816,63
GER40.cash__lbw_10__train__00000817,GER40.cash,10,train,8,2021-09-27T00:00:00,2021-12-22T00:00:00,817,879,63
GER40.cash__lbw_10__train__00000880,GER40.cash,10,train,9,2021-12-23T00:00:00,2022-03-23T00:00:00,880,942,63
GER40.cash__lbw_10__train__00000943,GER40.cash,10,train,10,2022-03-24T00:00:00,2022-06-22T00:00:00,943,1005,63
GER40.cash__lbw_10__train__00001006,GER40.cash,10,train,11,2022-06-23T00:00:00,2022-09-19T00:00:00,1006,1068,63
GER40.cash__lbw_10__train__00001069,GER40.cash,10,train,12,2022-09-20T00:00:00,2022-12-15T00:00:00,1069,1131,63
GER40.cash__lbw_10__train__00001132,GER40.cash,10,train,13,2022-12-16T00:00:00,2023-03-15T00:00:00,1132,1194,63
GER40.cash__lbw_10__train__00001195,GER40.cash,10,train,14,2023-03-16T00:00:00,2023-06-15T00:00:00,1195,1257,63
GER40.cash__lbw_10__train__00001258,GER40.cash,10,train,15,2023-06-16T00:00:00,2023-09-12T00:00:00,1258,1320,63
GER40.cash__lbw_10__train__00001321,GER40.cash,10,train,16,2023-09-13T00:00:00,2023-12-08T00:00:00,1321,1383,63
GER40.cash__lbw_10__train__00001384,GER40.cash,10,train,17,2023-12-11T00:00:00,2024-03-11T00:00:00,1384,1446,63
GER40.cash__lbw_10__train__00001447,GER40.cash,10,train,18,2024-03-12T00:00:00,2024-06-11T00:00:00,1447,1509,63
GER40.cash__lbw_10__train__00001510,GER40.cash,10,train,19,2024-06-12T00:00:00,2024-09-06T00:00:00,1510,1572,63
GER40.cash__lbw_10__train__00001573,GER40.cash,10,train,20,2024-09-09T00:00:00,2024-12-04T00:00:00,1573,1635,63
GER40.cash__lbw_10__train__00001636,GER40.cash,10,train,21,2024-12-05T00:00:00,2025-03-10T00:00:00,1636,1698,63
GER40.cash__lbw_10__train__00001699,GER40.cash,10,train,22,2025-03-11T00:00:00,2025-06-10T00:00:00,1699,1761,63
GER40.cash__lbw_10__validation__00001778,GER40.cash,10,validation,0,2025-07-03T00:00:00,2025-09-29T00:00:00,1778,1840,63
GER40.cash__lbw_10__validation__00001841,GER40.cash,10,validation,1,2025-09-30T00:00:00,2025-12-30T00:00:00,1841,1903,63
AUS200.cash__lbw_10__train__00000313,AUS200.cash,10,train,0,2020-05-29T00:00:00,2020-08-25T00:00:00,313,375,63
AUS200.cash__lbw_10__train__00000376,AUS200.cash,10,train,1,2020-08-26T00:00:00,2020-11-20T00:00:00,376,438,63
AUS200.cash__lbw_10__train__00000439,AUS200.cash,10,train,2,2020-11-23T00:00:00,2021-02-22T00:00:00,439,501,63
AUS200.cash__lbw_10__train__00000502,AUS200.cash,10,train,3,2021-02-23T00:00:00,2021-05-24T00:00:00,502,564,63
AUS200.cash__lbw_10__train__00000565,AUS200.cash,10,train,4,2021-05-25T00:00:00,2021-08-19T00:00:00,565,627,63
AUS200.cash__lbw_10__train__00000628,AUS200.cash,10,train,5,2021-08-20T00:00:00,2021-11-16T00:00:00,628,690,63
AUS200.cash__lbw_10__train__00000691,AUS200.cash,10,train,6,2021-11-17T00:00:00,2022-02-16T00:00:00,691,753,63
AUS200.cash__lbw_10__train__00000754,AUS200.cash,10,train,7,2022-02-17T00:00:00,2022-05-18T00:00:00,754,816,63
AUS200.cash__lbw_10__train__00000817,AUS200.cash,10,train,8,2022-05-19T00:00:00,2022-08-16T00:00:00,817,879,63
AUS200.cash__lbw_10__train__00000880,AUS200.cash,10,train,9,2022-08-17T00:00:00,2022-11-11T00:00:00,880,942,63
AUS200.cash__lbw_10__train__00000943,AUS200.cash,10,train,10,2022-11-14T00:00:00,2023-02-13T00:00:00,943,1005,63
AUS200.cash__lbw_10__train__00001006,AUS200.cash,10,train,11,2023-02-14T00:00:00,2023-05-15T00:00:00,1006,1068,63
AUS200.cash__lbw_10__train__00001069,AUS200.cash,10,train,12,2023-05-16T00:00:00,2023-08-10T00:00:00,1069,1131,63
AUS200.cash__lbw_10__train__00001132,AUS200.cash,10,train,13,2023-08-11T00:00:00,2023-11-07T00:00:00,1132,1194,63
AUS200.cash__lbw_10__train__00001195,AUS200.cash,10,train,14,2023-11-08T00:00:00,2024-02-07T00:00:00,1195,1257,63
AUS200.cash__lbw_10__train__00001258,AUS200.cash,10,train,15,2024-02-08T00:00:00,2024-05-08T00:00:00,1258,1320,63
AUS200.cash__lbw_10__train__00001321,AUS200.cash,10,train,16,2024-05-09T00:00:00,2024-08-05T00:00:00,1321,1383,63
AUS200.cash__lbw_10__train__00001384,AUS200.cash,10,train,17,2024-08-06T00:00:00,2024-10-31T00:00:00,1384,1446,63
AUS200.cash__lbw_10__train__00001447,AUS200.cash,10,train,18,2024-11-01T00:00:00,2025-02-03T00:00:00,1447,1509,63
AUS200.cash__lbw_10__train__00001510,AUS200.cash,10,train,19,2025-02-04T00:00:00,2025-05-05T00:00:00,1510,1572,63
AUS200.cash__lbw_10__validation__00001633,AUS200.cash,10,validation,0,2025-07-29T00:00:00,2025-10-23T00:00:00,1633,1695,63
AUS200.cash__lbw_10__validation__00001696,AUS200.cash,10,validation,1,2025-10-24T00:00:00,2026-01-23T00:00:00,1696,1758,63
EU50.cash__lbw_10__train__00000313,EU50.cash,10,train,0,2019-03-26T00:00:00,2019-06-25T00:00:00,313,375,63
EU50.cash__lbw_10__train__00000376,EU50.cash,10,train,1,2019-06-26T00:00:00,2019-09-20T00:00:00,376,438,63
EU50.cash__lbw_10__train__00000439,EU50.cash,10,train,2,2019-09-23T00:00:00,2019-12-18T00:00:00,439,501,63
EU50.cash__lbw_10__train__00000502,EU50.cash,10,train,3,2019-12-19T00:00:00,2020-03-19T00:00:00,502,564,63
EU50.cash__lbw_10__train__00000565,EU50.cash,10,train,4,2020-03-20T00:00:00,2020-06-19T00:00:00,565,627,63
EU50.cash__lbw_10__train__00000628,EU50.cash,10,train,5,2020-06-22T00:00:00,2020-09-16T00:00:00,628,690,63
EU50.cash__lbw_10__train__00000691,EU50.cash,10,train,6,2020-09-17T00:00:00,2020-12-14T00:00:00,691,753,63
EU50.cash__lbw_10__train__00000754,EU50.cash,10,train,7,2020-12-15T00:00:00,2021-03-17T00:00:00,754,816,63
EU50.cash__lbw_10__train__00000817,EU50.cash,10,train,8,2021-03-18T00:00:00,2021-06-16T00:00:00,817,879,63
EU50.cash__lbw_10__train__00000880,EU50.cash,10,train,9,2021-06-17T00:00:00,2021-09-13T00:00:00,880,942,63
EU50.cash__lbw_10__train__00000943,EU50.cash,10,train,10,2021-09-14T00:00:00,2021-12-09T00:00:00,943,1005,63
EU50.cash__lbw_10__train__00001006,EU50.cash,10,train,11,2021-12-10T00:00:00,2022-03-10T00:00:00,1006,1068,63
EU50.cash__lbw_10__train__00001069,EU50.cash,10,train,12,2022-03-11T00:00:00,2022-06-09T00:00:00,1069,1131,63
EU50.cash__lbw_10__train__00001132,EU50.cash,10,train,13,2022-06-10T00:00:00,2022-09-06T00:00:00,1132,1194,63
EU50.cash__lbw_10__train__00001195,EU50.cash,10,train,14,2022-09-07T00:00:00,2022-12-02T00:00:00,1195,1257,63
EU50.cash__lbw_10__train__00001258,EU50.cash,10,train,15,2022-12-05T00:00:00,2023-03-02T00:00:00,1258,1320,63
EU50.cash__lbw_10__train__00001321,EU50.cash,10,train,16,2023-03-03T00:00:00,2023-06-02T00:00:00,1321,1383,63
EU50.cash__lbw_10__train__00001384,EU50.cash,10,train,17,2023-06-05T00:00:00,2023-08-30T00:00:00,1384,1446,63
EU50.cash__lbw_10__train__00001447,EU50.cash,10,train,18,2023-08-31T00:00:00,2023-11-27T00:00:00,1447,1509,63
EU50.cash__lbw_10__train__00001510,EU50.cash,10,train,19,2023-11-28T00:00:00,2024-02-27T00:00:00,1510,1572,63
EU50.cash__lbw_10__train__00001573,EU50.cash,10,train,20,2024-02-28T00:00:00,2024-05-29T00:00:00,1573,1635,63
EU50.cash__lbw_10__train__00001636,EU50.cash,10,train,21,2024-05-30T00:00:00,2024-08-26T00:00:00,1636,1698,63
EU50.cash__lbw_10__train__00001699,EU50.cash,10,train,22,2024-08-27T00:00:00,2024-11-21T00:00:00,1699,1761,63
EU50.cash__lbw_10__train__00001762,EU50.cash,10,train,23,2024-11-22T00:00:00,2025-02-25T00:00:00,1762,1824,63
EU50.cash__lbw_10__train__00001825,EU50.cash,10,train,24,2025-02-26T00:00:00,2025-05-28T00:00:00,1825,1887,63
EU50.cash__lbw_10__validation__00001898,EU50.cash,10,validation,0,2025-06-12T00:00:00,2025-09-08T00:00:00,1898,1960,63
EU50.cash__lbw_10__validation__00001961,EU50.cash,10,validation,1,2025-09-09T00:00:00,2025-12-04T00:00:00,1961,2023,63
FRA40.cash__lbw_10__train__00000313,FRA40.cash,10,train,0,2019-03-22T00:00:00,2019-06-21T00:00:00,313,375,63
FRA40.cash__lbw_10__train__00000376,FRA40.cash,10,train,1,2019-06-24T00:00:00,2019-09-18T00:00:00,376,438,63
FRA40.cash__lbw_10__train__00000439,FRA40.cash,10,train,2,2019-09-19T00:00:00,2019-12-17T00:00:00,439,501,63
FRA40.cash__lbw_10__train__00000502,FRA40.cash,10,train,3,2019-12-18T00:00:00,2020-03-18T00:00:00,502,564,63
FRA40.cash__lbw_10__train__00000565,FRA40.cash,10,train,4,2020-03-19T00:00:00,2020-06-17T00:00:00,565,627,63
FRA40.cash__lbw_10__train__00000628,FRA40.cash,10,train,5,2020-06-18T00:00:00,2020-09-14T00:00:00,628,690,63
FRA40.cash__lbw_10__train__00000691,FRA40.cash,10,train,6,2020-09-15T00:00:00,2020-12-10T00:00:00,691,753,63
FRA40.cash__lbw_10__train__00000754,FRA40.cash,10,train,7,2020-12-11T00:00:00,2021-03-11T00:00:00,754,816,63
FRA40.cash__lbw_10__train__00000817,FRA40.cash,10,train,8,2021-03-12T00:00:00,2021-06-10T00:00:00,817,879,63
FRA40.cash__lbw_10__train__00000880,FRA40.cash,10,train,9,2021-06-11T00:00:00,2021-09-07T00:00:00,880,942,63
FRA40.cash__lbw_10__train__00000943,FRA40.cash,10,train,10,2021-09-08T00:00:00,2021-12-03T00:00:00,943,1005,63
FRA40.cash__lbw_10__train__00001006,FRA40.cash,10,train,11,2021-12-06T00:00:00,2022-03-02T00:00:00,1006,1068,63
FRA40.cash__lbw_10__train__00001069,FRA40.cash,10,train,12,2022-03-03T00:00:00,2022-06-01T00:00:00,1069,1131,63
FRA40.cash__lbw_10__train__00001132,FRA40.cash,10,train,13,2022-06-02T00:00:00,2022-08-29T00:00:00,1132,1194,63
FRA40.cash__lbw_10__train__00001195,FRA40.cash,10,train,14,2022-08-30T00:00:00,2022-11-24T00:00:00,1195,1257,63
FRA40.cash__lbw_10__train__00001258,FRA40.cash,10,train,15,2022-11-25T00:00:00,2023-02-22T00:00:00,1258,1320,63
FRA40.cash__lbw_10__train__00001321,FRA40.cash,10,train,16,2023-02-23T00:00:00,2023-05-25T00:00:00,1321,1383,63
FRA40.cash__lbw_10__train__00001384,FRA40.cash,10,train,17,2023-05-26T00:00:00,2023-08-22T00:00:00,1384,1446,63
FRA40.cash__lbw_10__train__00001447,FRA40.cash,10,train,18,2023-08-23T00:00:00,2023-11-17T00:00:00,1447,1509,63
FRA40.cash__lbw_10__train__00001510,FRA40.cash,10,train,19,2023-11-20T00:00:00,2024-02-19T00:00:00,1510,1572,63
FRA40.cash__lbw_10__train__00001573,FRA40.cash,10,train,20,2024-02-20T00:00:00,2024-05-21T00:00:00,1573,1635,63
FRA40.cash__lbw_10__train__00001636,FRA40.cash,10,train,21,2024-05-22T00:00:00,2024-08-16T00:00:00,1636,1698,63
FRA40.cash__lbw_10__train__00001699,FRA40.cash,10,train,22,2024-08-19T00:00:00,2024-11-13T00:00:00,1699,1761,63
FRA40.cash__lbw_10__train__00001762,FRA40.cash,10,train,23,2024-11-14T00:00:00,2025-02-13T00:00:00,1762,1824,63
FRA40.cash__lbw_10__train__00001825,FRA40.cash,10,train,24,2025-02-14T00:00:00,2025-05-16T00:00:00,1825,1887,63
FRA40.cash__lbw_10__validation__00001907,FRA40.cash,10,validation,0,2025-06-13T00:00:00,2025-09-09T00:00:00,1907,1969,63
FRA40.cash__lbw_10__validation__00001970,FRA40.cash,10,validation,1,2025-09-10T00:00:00,2025-12-05T00:00:00,1970,2032,63
HK50.cash__lbw_10__train__00000313,HK50.cash,10,train,0,2020-03-24T00:00:00,2020-06-24T00:00:00,313,375,63
HK50.cash__lbw_10__train__00000376,HK50.cash,10,train,1,2020-06-26T00:00:00,2020-09-23T00:00:00,376,438,63
HK50.cash__lbw_10__train__00000439,HK50.cash,10,train,2,2020-09-24T00:00:00,2020-12-28T00:00:00,439,501,63
HK50.cash__lbw_10__train__00000502,HK50.cash,10,train,3,2020-12-29T00:00:00,2021-03-30T00:00:00,502,564,63
HK50.cash__lbw_10__train__00000565,HK50.cash,10,train,4,2021-03-31T00:00:00,2021-07-05T00:00:00,565,627,63
HK50.cash__lbw_10__train__00000628,HK50.cash,10,train,5,2021-07-06T00:00:00,2021-10-04T00:00:00,628,690,63
