asset_id,lbw,usable_row_count,train_row_count,val_row_count,train_start_timestamp,train_end_timestamp,val_start_timestamp,val_end_timestamp,train_start_timeline_index,train_end_timeline_index,val_start_timeline_index,val_end_timeline_index,split_rule
COCOA.c,10,463,416,47,2024-04-18T00:00:00,2025-12-11T00:00:00,2025-12-12T00:00:00,2026-02-20T00:00:00,313,728,729,775,floor_90_rest_10
COFFEE.c,10,463,416,47,2024-04-18T00:00:00,2025-12-11T00:00:00,2025-12-12T00:00:00,2026-02-20T00:00:00,313,728,729,775,floor_90_rest_10
CORN.c,10,415,373,42,2024-06-28T00:00:00,2025-12-19T00:00:00,2025-12-22T00:00:00,2026-02-23T00:00:00,313,685,686,727,floor_90_rest_10
GER40.cash,10,1628,1465,163,2019-10-11T00:00:00,2025-07-02T00:00:00,2025-07-03T00:00:00,2026-02-23T00:00:00,313,1777,1778,1940,floor_90_rest_10
AUS200.cash,10,1467,1320,147,2020-05-29T00:00:00,2025-07-28T00:00:00,2025-07-29T00:00:00,2026-02-23T00:00:00,313,1632,1633,1779,floor_90_rest_10
EU50.cash,10,1762,1585,177,2019-03-26T00:00:00,2025-06-11T00:00:00,2025-06-12T00:00:00,2026-02-20T00:00:00,313,1897,1898,2074,floor_90_rest_10
FRA40.cash,10,1772,1594,178,2019-03-22T00:00:00,2025-06-12T00:00:00,2025-06-13T00:00:00,2026-02-20T00:00:00,313,1906,1907,2084,floor_90_rest_10
HK50.cash,10,1458,1312,146,2020-03-24T00:00:00,2025-07-21T00:00:00,2025-07-22T00:00:00,2026-02-23T00:00:00,313,1624,1625,1770,floor_90_rest_10
JP225.cash,10,1846,1661,185,2019-01-03T00:00:00,2025-06-05T00:00:00,2025-06-06T00:00:00,2026-02-23T00:00:00,313,1973,1974,2158,floor_90_rest_10
N25.cash,10,887,798,89,2022-01-31T00:00:00,2025-10-15T00:00:00,2025-10-16T00:00:00,2026-02-20T00:00:00,313,1110,1111,1199,floor_90_rest_10
DXY.cash,10,7,6,1,2026-02-13T00:00:00,2026-02-20T00:00:00,2026-02-23T00:00:00,2026-02-23T00:00:00,313,318,319,319,floor_90_rest_10
NATGAS.cash,10,31,27,4,2026-01-12T00:00:00,2026-02-17T00:00:00,2026-02-18T00:00:00,2026-02-23T00:00:00,313,339,340,343,floor_90_rest_10
ADAUSD,10,1310,1179,131,2022-07-20T00:00:00,2025-10-15T00:00:00,2025-10-16T00:00:00,2026-02-23T00:00:00,313,1491,1492,1622,floor_90_rest_10
AVAUSD,10,1662,1495,167,2021-08-01T00:00:00,2025-09-09T00:00:00,2025-09-10T00:00:00,2026-02-23T00:00:00,313,1807,1808,1974,floor_90_rest_10
BCHUSD,10,2759,2483,276,2018-07-31T00:00:00,2025-05-17T00:00:00,2025-05-18T00:00:00,2026-02-23T00:00:00,313,2795,2796,3071,floor_90_rest_10
BTCUSD,10,5028,4525,503,2012-02-06T00:00:00,2024-10-04T00:00:00,2024-10-05T00:00:00,2026-02-23T00:00:00,313,4837,4838,5340,floor_90_rest_10
DASHUSD,10,1605,1444,161,2021-09-26T00:00:00,2025-09-15T00:00:00,2025-09-16T00:00:00,2026-02-23T00:00:00,313,1756,1757,1917,floor_90_rest_10
DOTUSD,10,1310,1179,131,2022-07-20T00:00:00,2025-10-15T00:00:00,2025-10-16T00:00:00,2026-02-23T00:00:00,313,1491,1492,1622,floor_90_rest_10
ETCUSD,10,2759,2483,276,2018-07-31T00:00:00,2025-05-17T00:00:00,2025-05-18T00:00:00,2026-02-23T00:00:00,313,2795,2796,3071,floor_90_rest_10
ETHUSD,10,2957,2661,296,2017-03-13T00:00:00,2025-04-29T00:00:00,2025-04-30T00:00:00,2026-02-23T00:00:00,313,2973,2974,3269,floor_90_rest_10
LTCUSD,10,4751,4275,476,2012-12-04T00:00:00,2024-10-31T00:00:00,2024-11-01T00:00:00,2026-02-23T00:00:00,313,4611,4612,5087,floor_90_rest_10
AAVUSD,10,1560,1404,156,2021-11-11T00:00:00,2025-09-20T00:00:00,2025-09-21T00:00:00,2026-02-23T00:00:00,313,1716,1717,1872,floor_90_rest_10
ALGUSD,10,1997,1797,200,2020-07-28T00:00:00,2025-08-05T00:00:00,2025-08-06T00:00:00,2026-02-23T00:00:00,313,2111,2112,2311,floor_90_rest_10
BARUSD,10,1486,1337,149,2022-01-24T00:00:00,2025-09-27T00:00:00,2025-09-28T00:00:00,2026-02-23T00:00:00,313,1649,1650,1798,floor_90_rest_10
BNBUSD,10,2817,2535,282,2018-06-03T00:00:00,2025-05-11T00:00:00,2025-05-12T00:00:00,2026-02-23T00:00:00,313,2847,2848,3129,floor_90_rest_10
DOGEUSD,10,1310,1179,131,2022-07-20T00:00:00,2025-10-15T00:00:00,2025-10-16T00:00:00,2026-02-23T00:00:00,313,1491,1492,1622,floor_90_rest_10
FETUSD,10,311,279,32,2025-04-13T00:00:00,2026-01-22T00:00:00,2026-01-23T00:00:00,2026-02-23T00:00:00,313,591,592,623,floor_90_rest_10
GALUSD,10,1301,1170,131,2022-07-28T00:00:00,2025-10-15T00:00:00,2025-10-16T00:00:00,2026-02-23T00:00:00,313,1482,1483,1613,floor_90_rest_10
GRTUSD,10,1559,1403,156,2021-11-11T00:00:00,2025-09-20T00:00:00,2025-09-21T00:00:00,2026-02-23T00:00:00,313,1715,1716,1871,floor_90_rest_10
ICPUSD,10,311,279,32,2025-04-13T00:00:00,2026-01-22T00:00:00,2026-01-23T00:00:00,2026-02-23T00:00:00,313,591,592,623,floor_90_rest_10
IMXUSD,10,1187,1068,119,2022-11-19T00:00:00,2025-10-27T00:00:00,2025-10-28T00:00:00,2026-02-23T00:00:00,313,1380,1381,1499,floor_90_rest_10
LNKUSD,10,2717,2445,272,2018-07-31T00:00:00,2025-05-21T00:00:00,2025-05-22T00:00:00,2026-02-23T00:00:00,313,2799,2800,3071,floor_90_rest_10
MANUSD,10,1560,1404,156,2021-11-11T00:00:00,2025-09-20T00:00:00,2025-09-21T00:00:00,2026-02-23T00:00:00,313,1716,1717,1872,floor_90_rest_10
NEOUSD,10,2532,2278,254,2019-03-13T00:00:00,2025-06-10T00:00:00,2025-06-11T00:00:00,2026-02-23T00:00:00,313,2590,2591,2844,floor_90_rest_10
NERUSD,10,1641,1476,165,2021-08-22T00:00:00,2025-09-11T00:00:00,2025-09-12T00:00:00,2026-02-23T00:00:00,313,1788,1789,1953,floor_90_rest_10
AAPL,10,5017,4515,502,2008-06-03T00:00:00,2024-02-20T00:00:00,2024-02-21T00:00:00,2026-02-20T00:00:00,313,4827,4828,5329,floor_90_rest_10
AMZN,10,1401,1260,141,2020-07-27T00:00:00,2025-07-30T00:00:00,2025-07-31T00:00:00,2026-02-20T00:00:00,313,1572,1573,1713,floor_90_rest_10
BABA,10,1401,1260,141,2020-07-27T00:00:00,2025-07-30T00:00:00,2025-07-31T00:00:00,2026-02-20T00:00:00,313,1572,1573,1713,floor_90_rest_10
