asset_id,symbol,category,path_pattern,d_file_path,raw_row_count,screened_row_count,first_timestamp,last_timestamp
COCOA.c,COCOA.c,Agriculture,category_symbol_d,data/FTMO Data/Agriculture/COCOA.c/D/COCOA.c_data.csv,776,776,2023-01-19,2026-02-20
COFFEE.c,COFFEE.c,Agriculture,category_symbol_d,data/FTMO Data/Agriculture/COFFEE.c/D/COFFEE.c_data.csv,776,776,2023-01-19,2026-02-20
CORN.c,CORN.c,Agriculture,category_symbol_d,data/FTMO Data/Agriculture/CORN.c/D/CORN.c_data.csv,728,728,2023-03-30,2026-02-23
SOYBEAN.c,SOYBEAN.c,Agriculture,category_symbol_d,data/FTMO Data/Agriculture/SOYBEAN.c/D/SOYBEAN.c_data.csv,641,641,2023-08-04,2026-02-23
WHEAT.c,WHEAT.c,Agriculture,category_symbol_d,data/FTMO Data/Agriculture/WHEAT.c/D/WHEAT.c_data.csv,731,731,2023-03-27,2026-02-23
GER40.cash,GER40.cash,Cash CFD,category_symbol_d,data/FTMO Data/Cash CFD/GER40.cash/D/GER40.cash_data.csv,1941,1941,2017-12-28,2026-02-23
UK100.cash,UK100.cash,Cash CFD,category_symbol_d,data/FTMO Data/Cash CFD/UK100.cash/D/UK100.cash_data.csv,2115,2115,2017-12-28,2026-02-23
US100.cash,US100.cash,Cash CFD,category_symbol_d,data/FTMO Data/Cash CFD/US100.cash/D/US100.cash_data.csv,2106,2106,2017-12-29,2026-02-23
US30.cash,US30.cash,Cash CFD,category_symbol_d,data/FTMO Data/Cash CFD/US30.cash/D/US30.cash_data.csv,1799,1799,2019-02-08,2026-02-23
US500.cash,US500.cash,Cash CFD,category_symbol_d,data/FTMO Data/Cash CFD/US500.cash/D/US500.cash_data.csv,2106,2106,2017-12-29,2026-02-23
AUS200.cash,AUS200.cash,Cash II CFD,category_symbol_d,data/FTMO Data/Cash II CFD/AUS200.cash/D/AUS200.cash_data.csv,1780,1780,2019-02-08,2026-02-23
EU50.cash,EU50.cash,Cash II CFD,category_symbol_d,data/FTMO Data/Cash II CFD/EU50.cash/D/EU50.cash_data.csv,2075,2075,2017-12-29,2026-02-20
FRA40.cash,FRA40.cash,Cash II CFD,category_symbol_d,data/FTMO Data/Cash II CFD/FRA40.cash/D/FRA40.cash_data.csv,2085,2085,2017-12-29,2026-02-20
HK50.cash,HK50.cash,Cash II CFD,category_symbol_d,data/FTMO Data/Cash II CFD/HK50.cash/D/HK50.cash_data.csv,1771,1771,2018-12-17,2026-02-23
JP225.cash,JP225.cash,Cash II CFD,category_symbol_d,data/FTMO Data/Cash II CFD/JP225.cash/D/JP225.cash_data.csv,2159,2159,2017-12-28,2026-02-23
N25.cash,N25.cash,Cash II CFD,category_symbol_d,data/FTMO Data/Cash II CFD/N25.cash/D/N25.cash_data.csv,1200,1200,2020-11-12,2026-02-20
SPN35.cash,SPN35.cash,Cash II CFD,category_symbol_d,data/FTMO Data/Cash II CFD/SPN35.cash/D/SPN35.cash_data.csv,1353,1353,2020-11-09,2026-02-20
UKOIL.cash,UKOIL.cash,Cash II CFD,category_symbol_d,data/FTMO Data/Cash II CFD/UKOIL.cash/D/UKOIL.cash_data.csv,2539,2539,2016-04-22,2026-02-23
US2000.cash,US2000.cash,Cash II CFD,category_symbol_d,data/FTMO Data/Cash II CFD/US2000.cash/D/US2000.cash_data.csv,2087,2087,2018-01-23,2026-02-23
USOIL.cash,USOIL.cash,Cash II CFD,category_symbol_d,data/FTMO Data/Cash II CFD/USOIL.cash/D/USOIL.cash_data.csv,1329,1329,2020-12-31,2026-02-23
DXY.cash,DXY.cash,Cash III CFD,category_symbol_d,data/FTMO Data/Cash III CFD/DXY.cash/D/DXY.cash_data.csv,320,320,2024-11-26,2026-02-23
NATGAS.cash,NATGAS.cash,Commodities,category_symbol_d,data/FTMO Data/Commodities/NATGAS.cash/D/NATGAS.cash_data.csv,344,344,2024-10-23,2026-02-23
ADAUSD,ADAUSD,Crypto I CFD,category_symbol_d,data/FTMO Data/Crypto I CFD/ADAUSD/D/ADAUSD_data.csv,1623,1623,2021-09-08,2026-02-23
AVAUSD,AVAUSD,Crypto I CFD,category_symbol_d,data/FTMO Data/Crypto I CFD/AVAUSD/D/AVAUSD_data.csv,1975,1975,2020-09-22,2026-02-23
BCHUSD,BCHUSD,Crypto I CFD,category_symbol_d,data/FTMO Data/Crypto I CFD/BCHUSD/D/BCHUSD_data.csv,3072,3072,2017-09-21,2026-02-23
BTCUSD,BTCUSD,Crypto I CFD,category_symbol_d,data/FTMO Data/Crypto I CFD/BTCUSD/D/BTCUSD_data.csv,5341,5341,2011-03-24,2026-02-23
DASHUSD,DASHUSD,Crypto I CFD,category_symbol_d,data/FTMO Data/Crypto I CFD/DASHUSD/D/DASHUSD_data.csv,1918,1918,2020-11-11,2026-02-23
DOTUSD,DOTUSD,Crypto I CFD,category_symbol_d,data/FTMO Data/Crypto I CFD/DOTUSD/D/DOTUSD_data.csv,1623,1623,2021-09-08,2026-02-23
ETCUSD,ETCUSD,Crypto I CFD,category_symbol_d,data/FTMO Data/Crypto I CFD/ETCUSD/D/ETCUSD_data.csv,3072,3072,2017-09-21,2026-02-23
ETHUSD,ETHUSD,Crypto I CFD,category_symbol_d,data/FTMO Data/Crypto I CFD/ETHUSD/D/ETHUSD_data.csv,3270,3270,2016-05-02,2026-02-23
LTCUSD,LTCUSD,Crypto I CFD,category_symbol_d,data/FTMO Data/Crypto I CFD/LTCUSD/D/LTCUSD_data.csv,5088,5088,2011-10-25,2026-02-23
XRPUSD,XRPUSD,Crypto I CFD,category_symbol_d,data/FTMO Data/Crypto I CFD/XRPUSD/D/XRPUSD_data.csv,3385,3385,2016-05-16,2026-02-23
AAVUSD,AAVUSD,Crypto II CFD,category_symbol_d,data/FTMO Data/Crypto II CFD/AAVUSD/D/AAVUSD_data.csv,1873,1873,2021-01-02,2026-02-23
ALGUSD,ALGUSD,Crypto II CFD,category_symbol_d,data/FTMO Data/Crypto II CFD/ALGUSD/D/ALGUSD_data.csv,2312,2312,2019-09-19,2026-02-23
BARUSD,BARUSD,Crypto II CFD,category_symbol_d,data/FTMO Data/Crypto II CFD/BARUSD/D/BARUSD_data.csv,1799,1799,2021-03-17,2026-02-23
BNBUSD,BNBUSD,Crypto II CFD,category_symbol_d,data/FTMO Data/Crypto II CFD/BNBUSD/D/BNBUSD_data.csv,3130,3130,2017-07-25,2026-02-23
DOGEUSD,DOGEUSD,Crypto II CFD,category_symbol_d,data/FTMO Data/Crypto II CFD/DOGEUSD/D/DOGEUSD_data.csv,1623,1623,2021-09-08,2026-02-23
