asset_id,symbol,category,path_pattern,resolution_status,resolution_failure_reason,d_file_path,raw_header,timestamp_column,close_column,schema_status,schema_reason_code,raw_row_count,canonical_row_count,duplicate_identical_count,duplicate_conflict_count,source_sorted_ascending,canonical_first_timestamp,canonical_last_timestamp
COCOA.c,COCOA.c,Agriculture,category_symbol_d,RESOLVED,,data/FTMO Data/Agriculture/COCOA.c/D/COCOA.c_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,776,776,0,0,true,2023-01-19,2026-02-20
COFFEE.c,COFFEE.c,Agriculture,category_symbol_d,RESOLVED,,data/FTMO Data/Agriculture/COFFEE.c/D/COFFEE.c_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,776,776,0,0,true,2023-01-19,2026-02-20
CORN.c,CORN.c,Agriculture,category_symbol_d,RESOLVED,,data/FTMO Data/Agriculture/CORN.c/D/CORN.c_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,728,728,0,0,true,2023-03-30,2026-02-23
COTTON.c,COTTON.c,Agriculture,category_symbol_d,RESOLVED,,data/FTMO Data/Agriculture/COTTON.c/D/COTTON.c_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,310,310,0,0,true,2024-11-26,2026-02-23
SOYBEAN.c,SOYBEAN.c,Agriculture,category_symbol_d,RESOLVED,,data/FTMO Data/Agriculture/SOYBEAN.c/D/SOYBEAN.c_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,641,641,0,0,true,2023-08-04,2026-02-23
SUGAR.c,SUGAR.c,Agriculture,category_symbol_d,RESOLVED,,data/FTMO Data/Agriculture/SUGAR.c/D/SUGAR.c_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,309,309,0,0,true,2024-11-26,2026-02-20
WHEAT.c,WHEAT.c,Agriculture,category_symbol_d,RESOLVED,,data/FTMO Data/Agriculture/WHEAT.c/D/WHEAT.c_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,731,731,0,0,true,2023-03-27,2026-02-23
GER40.cash,GER40.cash,Cash CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Cash CFD/GER40.cash/D/GER40.cash_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,1941,1941,0,0,true,2017-12-28,2026-02-23
UK100.cash,UK100.cash,Cash CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Cash CFD/UK100.cash/D/UK100.cash_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,2115,2115,0,0,true,2017-12-28,2026-02-23
US100.cash,US100.cash,Cash CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Cash CFD/US100.cash/D/US100.cash_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,2106,2106,0,0,true,2017-12-29,2026-02-23
US30.cash,US30.cash,Cash CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Cash CFD/US30.cash/D/US30.cash_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,1799,1799,0,0,true,2019-02-08,2026-02-23
US500.cash,US500.cash,Cash CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Cash CFD/US500.cash/D/US500.cash_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,2106,2106,0,0,true,2017-12-29,2026-02-23
AUS200.cash,AUS200.cash,Cash II CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Cash II CFD/AUS200.cash/D/AUS200.cash_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,1780,1780,0,0,true,2019-02-08,2026-02-23
EU50.cash,EU50.cash,Cash II CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Cash II CFD/EU50.cash/D/EU50.cash_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,2075,2075,0,0,true,2017-12-29,2026-02-20
