candidate_index,candidate_id,dropout,hidden_size,minibatch_size,learning_rate,max_grad_norm,lbw
0,C-001,0.3,5,256,0.001,1.0,252
1,C-002,0.5,40,64,0.1,1.0,63
2,C-003,0.2,80,256,0.01,100.0,21
3,C-004,0.1,160,128,0.01,100.0,63
4,C-005,0.3,5,64,0.0001,0.01,21
5,C-006,0.4,5,256,0.01,1.0,252
6,C-007,0.4,80,128,0.001,1.0,252
7,C-008,0.3,80,128,0.001,100.0,10
8,C-009,0.5,20,128,0.001,100.0,21
9,C-010,0.4,160,256,0.001,1.0,126
10,C-011,0.2,10,128,0.001,1.0,10
11,C-012,0.4,20,128,0.01,1.0,63
12,C-013,0.1,5,128,0.0001,100.0,21
13,C-014,0.2,5,256,0.001,100.0,21
14,C-015,0.3,20,64,0.0001,1.0,252
15,C-016,0.2,20,256,0.1,0.01,252
16,C-017,0.4,40,128,0.0001,1.0,10
17,C-018,0.3,20,128,0.01,100.0,10
18,C-019,0.3,10,64,0.1,0.01,63
19,C-020,0.4,160,64,0.01,100.0,21
20,C-021,0.5,80,128,0.1,100.0,63
21,C-022,0.2,5,128,0.1,0.01,21
22,C-023,0.4,160,256,0.0001,0.01,252
23,C-024,0.5,80,64,0.0001,0.01,252
24,C-025,0.2,40,128,0.0001,100.0,21
25,C-026,0.4,80,64,0.001,1.0,63
26,C-027,0.5,10,128,0.001,1.0,10
27,C-028,0.1,40,64,0.0001,100.0,63
28,C-029,0.1,5,256,0.001,100.0,21
29,C-030,0.4,10,256,0.01,100.0,252
30,C-031,0.5,20,64,0.01,100.0,63
31,C-032,0.5,80,64,0.01,1.0,252
32,C-033,0.3,20,128,0.0001,0.01,252
33,C-034,0.1,80,64,0.001,0.01,21
34,C-035,0.4,160,256,0.1,1.0,10
35,C-036,0.4,160,256,0.001,0.01,252
36,C-037,0.4,160,64,0.01,100.0,126
37,C-038,0.4,10,128,0.1,100.0,63
38,C-039,0.4,5,256,0.001,1.0,252
39,C-040,0.5,80,128,0.001,100.0,126
40,C-041,0.2,20,64,0.1,0.01,126
41,C-042,0.2,80,128,0.0001,1.0,21
42,C-043,0.2,80,256,0.1,0.01,126
43,C-044,0.3,5,128,0.0001,1.0,21
44,C-045,0.1,20,64,0.01,1.0,21
45,C-046,0.2,40,128,0.0001,0.01,10
46,C-047,0.4,80,64,0.001,100.0,21
47,C-048,0.1,40,256,0.1,0.01,252
48,C-049,0.5,80,128,0.1,0.01,126
49,C-050,0.3,5,128,0.01,100.0,10
